year,fullname,count
1970,Mid-year population, age 0 years, by sex,31000.0
2000,Mid-year population, age 0 years, by sex,4319.0
2001,Mid-year population, age 0 years, by sex,4187.0
2002,Mid-year population, age 0 years, by sex,4133.0
2003,Mid-year population, age 0 years, by sex,4080.0
2004,Mid-year population, age 0 years, by sex,4264.0
2005,Mid-year population, age 0 years, by sex,4194.0
2006,Mid-year population, age 0 years, by sex,4469.0
2007,Mid-year population, age 0 years, by sex,4455.0
2008,Mid-year population, age 0 years, by sex,4758.0
2009,Mid-year population, age 0 years, by sex,4910.0
2010,Mid-year population, age 0 years, by sex,4938.0
2011,Mid-year population, age 0 years, by sex,4692.0
2012,Mid-year population, age 0 years, by sex,4516.5
2013,Mid-year population, age 0 years, by sex,4436.0
2014,Mid-year population, age 0 years, by sex,4341.5
2015,Mid-year population, age 0 years, by sex,4235.5
2016,Mid-year population, age 0 years, by sex,4081.0
2017,Mid-year population, age 0 years, by sex,4071.0
2018,Mid-year population, age 0 years, by sex,4162.0
2019,Mid-year population, age 0 years, by sex,4347.0
2020,Mid-year population, age 0 years, by sex,4494.5
1970,Mid-year population, age 0 years, by sex,58700.0
1971,Mid-year population, age 0 years, by sex,62600.0
1972,Mid-year population, age 0 years, by sex,64300.0
1973,Mid-year population, age 0 years, by sex,65000.0
1974,Mid-year population, age 0 years, by sex,67900.0
1975,Mid-year population, age 0 years, by sex,92900.0
1976,Mid-year population, age 0 years, by sex,95500.0
1977,Mid-year population, age 0 years, by sex,95700.0
1978,Mid-year population, age 0 years, by sex,93000.0
1979,Mid-year population, age 0 years, by sex,92300.0
1980,Mid-year population, age 0 years, by sex,93400.0
1981,Mid-year population, age 0 years, by sex,93000.0
1982,Mid-year population, age 0 years, by sex,94400.0
1983,Mid-year population, age 0 years, by sex,91800.0
1984,Mid-year population, age 0 years, by sex,98000.0
1985,Mid-year population, age 0 years, by sex,98500.0
1986,Mid-year population, age 0 years, by sex,98800.0
1987,Mid-year population, age 0 years, by sex,98800.0
1988,Mid-year population, age 0 years, by sex,99300.0
1989,Mid-year population, age 0 years, by sex,100200.0
1990,Mid-year population, age 0 years, by sex,101500.0
1991,Mid-year population, age 0 years, by sex,105100.0
1992,Mid-year population, age 0 years, by sex,108100.0
1993,Mid-year population, age 0 years, by sex,111200.0
1994,Mid-year population, age 0 years, by sex,113500.0
1995,Mid-year population, age 0 years, by sex,115700.0
1996,Mid-year population, age 0 years, by sex,119900.0
1997,Mid-year population, age 0 years, by sex,122900.0
1998,Mid-year population, age 0 years, by sex,127400.0
1999,Mid-year population, age 0 years, by sex,131000.0
2000,Mid-year population, age 0 years, by sex,133906.0
2001,Mid-year population, age 0 years, by sex,136046.5
2002,Mid-year population, age 0 years, by sex,137482.5
2003,Mid-year population, age 0 years, by sex,141324.5
2004,Mid-year population, age 0 years, by sex,143760.5
2005,Mid-year population, age 0 years, by sex,143483.0
2006,Mid-year population, age 0 years, by sex,145379.0
2007,Mid-year population, age 0 years, by sex,149263.0
2008,Mid-year population, age 0 years, by sex,153637.0
2009,Mid-year population, age 0 years, by sex,157666.0
2010,Mid-year population, age 0 years, by sex,162417.0
2011,Mid-year population, age 0 years, by sex,164966.0
2012,Mid-year population, age 0 years, by sex,168133.37105
2013,Mid-year population, age 0 years, by sex,170650.97364
2014,Mid-year population, age 0 years, by sex,173465.5
2015,Mid-year population, age 0 years, by sex,177138.06319
2016,Mid-year population, age 0 years, by sex,179535.0
2017,Mid-year population, age 0 years, by sex,181906.47806
2018,Mid-year population, age 0 years, by sex,183378.0
2019,Mid-year population, age 0 years, by sex,182449.0
1950,Mid-year population, age 0 years, by sex,809000.0
1951,Mid-year population, age 0 years, by sex,825500.0
1952,Mid-year population, age 0 years, by sex,817600.0
1953,Mid-year population, age 0 years, by sex,819000.0
1954,Mid-year population, age 0 years, by sex,831000.0
1955,Mid-year population, age 0 years, by sex,842300.0
1956,Mid-year population, age 0 years, by sex,844300.0
1957,Mid-year population, age 0 years, by sex,847300.0
1958,Mid-year population, age 0 years, by sex,846400.0
1959,Mid-year population, age 0 years, by sex,859800.0
1960,Mid-year population, age 0 years, by sex,877400.0
1961,Mid-year population, age 0 years, by sex,881900.0
1962,Mid-year population, age 0 years, by sex,898300.0
1963,Mid-year population, age 0 years, by sex,927300.0
1964,Mid-year population, age 0 years, by sex,968400.0
1965,Mid-year population, age 0 years, by sex,984300.0
1966,Mid-year population, age 0 years, by sex,963700.0
1967,Mid-year population, age 0 years, by sex,936200.0
1968,Mid-year population, age 0 years, by sex,904400.0
1969,Mid-year population, age 0 years, by sex,898800.0
1970,Mid-year population, age 0 years, by sex,886500.0
1971,Mid-year population, age 0 years, by sex,876700.0
1972,Mid-year population, age 0 years, by sex,878300.0
1973,Mid-year population, age 0 years, by sex,854000.0
1974,Mid-year population, age 0 years, by sex,870600.0
1975,Mid-year population, age 0 years, by sex,849300.0
1976,Mid-year population, age 0 years, by sex,811000.0
1977,Mid-year population, age 0 years, by sex,770900.0
1978,Mid-year population, age 0 years, by sex,729400.0
1979,Mid-year population, age 0 years, by sex,693300.0
1980,Mid-year population, age 0 years, by sex,662900.0
1981,Mid-year population, age 0 years, by sex,636300.0
1982,Mid-year population, age 0 years, by sex,615000.0
1983,Mid-year population, age 0 years, by sex,614700.0
1984,Mid-year population, age 0 years, by sex,596500.0
1985,Mid-year population, age 0 years, by sex,585300.0
1986,Mid-year population, age 0 years, by sex,568300.0
1987,Mid-year population, age 0 years, by sex,555100.0
1988,Mid-year population, age 0 years, by sex,563300.0
1989,Mid-year population, age 0 years, by sex,567200.0
1990,Mid-year population, age 0 years, by sex,569500.0
1991,Mid-year population, age 0 years, by sex,557000.0
1992,Mid-year population, age 0 years, by sex,510808.0
1993,Mid-year population, age 0 years, by sex,570454.0
1994,Mid-year population, age 0 years, by sex,548535.0
1995,Mid-year population, age 0 years, by sex,532848.0
1996,Mid-year population, age 0 years, by sex,522979.0
1997,Mid-year population, age 0 years, by sex,531568.0
1998,Mid-year population, age 0 years, by sex,532078.0
1999,Mid-year population, age 0 years, by sex,526625.0
2000,Mid-year population, age 0 years, by sex,531499.0
2001,Mid-year population, age 0 years, by sex,533572.0
2002,Mid-year population, age 0 years, by sex,526997.5
2003,Mid-year population, age 0 years, by sex,536818.0
2004,Mid-year population, age 0 years, by sex,549806.0
2005,Mid-year population, age 0 years, by sex,554072.0
2006,Mid-year population, age 0 years, by sex,551062.5
2007,Mid-year population, age 0 years, by sex,556795.0
2008,Mid-year population, age 0 years, by sex,564254.0
2009,Mid-year population, age 0 years, by sex,566225.0
2010,Mid-year population, age 0 years, by sex,559179.0
2011,Mid-year population, age 0 years, by sex,539939.0
2012,Mid-year population, age 0 years, by sex,527697.0
2013,Mid-year population, age 0 years, by sex,516538.0
2014,Mid-year population, age 0 years, by sex,502841.0
2015,Mid-year population, age 0 years, by sex,488120.0
2016,Mid-year population, age 0 years, by sex,473634.0
2017,Mid-year population, age 0 years, by sex,461925.0
1981,Mid-year population, age 0 years, by sex,356300.0
1982,Mid-year population, age 0 years, by sex,365000.0
1983,Mid-year population, age 0 years, by sex,380900.0
1984,Mid-year population, age 0 years, by sex,383368.0
1985,Mid-year population, age 0 years, by sex,392600.0
1986,Mid-year population, age 0 years, by sex,397300.0
1987,Mid-year population, age 0 years, by sex,403700.0
1988,Mid-year population, age 0 years, by sex,402500.0
1989,Mid-year population, age 0 years, by sex,386800.0
1990,Mid-year population, age 0 years, by sex,363000.0
1991,Mid-year population, age 0 years, by sex,349600.0
1992,Mid-year population, age 0 years, by sex,350600.0
1993,Mid-year population, age 0 years, by sex,354700.0
1994,Mid-year population, age 0 years, by sex,329100.0
1995,Mid-year population, age 0 years, by sex,284400.0
1996,Mid-year population, age 0 years, by sex,254500.0
1997,Mid-year population, age 0 years, by sex,237400.0
1998,Mid-year population, age 0 years, by sex,219100.0
1999,Mid-year population, age 0 years, by sex,211400.0
2000,Mid-year population, age 0 years, by sex,209958.0
2001,Mid-year population, age 0 years, by sex,216677.0
2002,Mid-year population, age 0 years, by sex,223958.0
2003,Mid-year population, age 0 years, by sex,237557.0
2004,Mid-year population, age 0 years, by sex,257334.0
2005,Mid-year population, age 0 years, by sex,272684.0
2006,Mid-year population, age 0 years, by sex,286942.0
2007,Mid-year population, age 0 years, by sex,308243.0
2008,Mid-year population, age 0 years, by sex,334120.0
2009,Mid-year population, age 0 years, by sex,351484.0
2010,Mid-year population, age 0 years, by sex,357274.0
2011,Mid-year population, age 0 years, by sex,365226.0
2012,Mid-year population, age 0 years, by sex,372304.0
2013,Mid-year population, age 0 years, by sex,380041.0
2014,Mid-year population, age 0 years, by sex,390727.0
2015,Mid-year population, age 0 years, by sex,395593.0
2016,Mid-year population, age 0 years, by sex,391099.0
2017,Mid-year population, age 0 years, by sex,392547.0
2018,Mid-year population, age 0 years, by sex,391099.0
2019,Mid-year population, age 0 years, by sex,396642.0
2020,Mid-year population, age 0 years, by sex,411136.5
1981,Mid-year population, age 0 years, by sex,106900.0
1982,Mid-year population, age 0 years, by sex,111900.0
1983,Mid-year population, age 0 years, by sex,118800.0
1984,Mid-year population, age 0 years, by sex,120433.0
1985,Mid-year population, age 0 years, by sex,124700.0
1986,Mid-year population, age 0 years, by sex,128600.0
1987,Mid-year population, age 0 years, by sex,131000.0
1988,Mid-year population, age 0 years, by sex,130200.0
1989,Mid-year population, age 0 years, by sex,128400.0
1990,Mid-year population, age 0 years, by sex,125900.0
1991,Mid-year population, age 0 years, by sex,125500.0
1992,Mid-year population, age 0 years, by sex,126100.0
1993,Mid-year population, age 0 years, by sex,119700.0
1994,Mid-year population, age 0 years, by sex,110200.0
1995,Mid-year population, age 0 years, by sex,110400.0
1996,Mid-year population, age 0 years, by sex,110200.0
1997,Mid-year population, age 0 years, by sex,103000.0
1998,Mid-year population, age 0 years, by sex,101100.0
1999,Mid-year population, age 0 years, by sex,102800.0
2000,Mid-year population, age 0 years, by sex,98652.0
2001,Mid-year population, age 0 years, by sex,95743.0
2002,Mid-year population, age 0 years, by sex,97804.0
2003,Mid-year population, age 0 years, by sex,101344.0
2004,Mid-year population, age 0 years, by sex,104954.0
2005,Mid-year population, age 0 years, by sex,106654.0
2006,Mid-year population, age 0 years, by sex,112166.0
2007,Mid-year population, age 0 years, by sex,118639.0
2008,Mid-year population, age 0 years, by sex,122091.0
2009,Mid-year population, age 0 years, by sex,124773.0
2010,Mid-year population, age 0 years, by sex,137875.0
2011,Mid-year population, age 0 years, by sex,145388.0
2012,Mid-year population, age 0 years, by sex,149654.0
2013,Mid-year population, age 0 years, by sex,152859.0
2014,Mid-year population, age 0 years, by sex,155997.0
2015,Mid-year population, age 0 years, by sex,159990.0
2016,Mid-year population, age 0 years, by sex,153674.0
2017,Mid-year population, age 0 years, by sex,153674.0
2018,Mid-year population, age 0 years, by sex,160166.0
2019,Mid-year population, age 0 years, by sex,170097.0
1981,Mid-year population, age 0 years, by sex,52100.0
1982,Mid-year population, age 0 years, by sex,52900.0
1983,Mid-year population, age 0 years, by sex,55600.0
1984,Mid-year population, age 0 years, by sex,56268.0
1985,Mid-year population, age 0 years, by sex,57900.0
1986,Mid-year population, age 0 years, by sex,59100.0
1987,Mid-year population, age 0 years, by sex,59200.0
1988,Mid-year population, age 0 years, by sex,57600.0
1989,Mid-year population, age 0 years, by sex,56132.0
1990,Mid-year population, age 0 years, by sex,55996.0
1991,Mid-year population, age 0 years, by sex,55966.0
1992,Mid-year population, age 0 years, by sex,54475.0
1993,Mid-year population, age 0 years, by sex,50122.0
1994,Mid-year population, age 0 years, by sex,44238.0
1995,Mid-year population, age 0 years, by sex,41210.0
1996,Mid-year population, age 0 years, by sex,39667.0
1997,Mid-year population, age 0 years, by sex,38032.0
1998,Mid-year population, age 0 years, by sex,37028.0
1999,Mid-year population, age 0 years, by sex,36371.0
2000,Mid-year population, age 0 years, by sex,34787.0
2001,Mid-year population, age 0 years, by sex,32187.0
2002,Mid-year population, age 0 years, by sex,30090.0
2003,Mid-year population, age 0 years, by sex,29472.0
2004,Mid-year population, age 0 years, by sex,29494.0
2005,Mid-year population, age 0 years, by sex,29119.0
2006,Mid-year population, age 0 years, by sex,28997.0
2007,Mid-year population, age 0 years, by sex,29288.0
2008,Mid-year population, age 0 years, by sex,30343.0
2009,Mid-year population, age 0 years, by sex,31526.0
2010,Mid-year population, age 0 years, by sex,31215.0
2011,Mid-year population, age 0 years, by sex,30387.0
2012,Mid-year population, age 0 years, by sex,30328.0
2013,Mid-year population, age 0 years, by sex,30162.0
2014,Mid-year population, age 0 years, by sex,30110.0
2015,Mid-year population, age 0 years, by sex,30910.0
2016,Mid-year population, age 0 years, by sex,30936.0
2017,Mid-year population, age 0 years, by sex,29584.0
2018,Mid-year population, age 0 years, by sex,28463.0
2019,Mid-year population, age 0 years, by sex,27759.0
2020,Mid-year population, age 0 years, by sex,26225.0
1960,Mid-year population, age 0 years, by sex,5000.0
1963,Mid-year population, age 0 years, by sex,5300.0
1965,Mid-year population, age 0 years, by sex,5000.0
1966,Mid-year population, age 0 years, by sex,5100.0
1967,Mid-year population, age 0 years, by sex,4800.0
1968,Mid-year population, age 0 years, by sex,4600.0
1969,Mid-year population, age 0 years, by sex,4400.0
1970,Mid-year population, age 0 years, by sex,4400.0
1971,Mid-year population, age 0 years, by sex,4400.0
1972,Mid-year population, age 0 years, by sex,4000.0
1973,Mid-year population, age 0 years, by sex,3700.0
1974,Mid-year population, age 0 years, by sex,3900.0
1975,Mid-year population, age 0 years, by sex,3900.0
1976,Mid-year population, age 0 years, by sex,3900.0
1977,Mid-year population, age 0 years, by sex,4000.0
1978,Mid-year population, age 0 years, by sex,3900.0
1979,Mid-year population, age 0 years, by sex,4100.0
1980,Mid-year population, age 0 years, by sex,4300.0
1981,Mid-year population, age 0 years, by sex,4400.0
1982,Mid-year population, age 0 years, by sex,4300.0
1983,Mid-year population, age 0 years, by sex,4300.0
1984,Mid-year population, age 0 years, by sex,4200.0
1985,Mid-year population, age 0 years, by sex,4200.0
1986,Mid-year population, age 0 years, by sex,4100.0
1987,Mid-year population, age 0 years, by sex,4300.0
1988,Mid-year population, age 0 years, by sex,4400.0
1989,Mid-year population, age 0 years, by sex,4600.0
1990,Mid-year population, age 0 years, by sex,4800.0
1991,Mid-year population, age 0 years, by sex,5000.0
1992,Mid-year population, age 0 years, by sex,5100.0
1993,Mid-year population, age 0 years, by sex,5300.0
1994,Mid-year population, age 0 years, by sex,5400.0
1995,Mid-year population, age 0 years, by sex,5500.0
1996,Mid-year population, age 0 years, by sex,5600.0
1997,Mid-year population, age 0 years, by sex,5600.0
1998,Mid-year population, age 0 years, by sex,5424.0
1999,Mid-year population, age 0 years, by sex,5461.0
2000,Mid-year population, age 0 years, by sex,5627.0
2001,Mid-year population, age 0 years, by sex,5153.0
2002,Mid-year population, age 0 years, by sex,5375.0
2003,Mid-year population, age 0 years, by sex,5302.0
2004,Mid-year population, age 0 years, by sex,5358.0
2005,Mid-year population, age 0 years, by sex,5395.0
2006,Mid-year population, age 0 years, by sex,5431.0
2007,Mid-year population, age 0 years, by sex,5490.0
2008,Mid-year population, age 0 years, by sex,5537.0
2009,Mid-year population, age 0 years, by sex,5617.0
2010,Mid-year population, age 0 years, by sex,5747.0
2011,Mid-year population, age 0 years, by sex,5850.0
2012,Mid-year population, age 0 years, by sex,5928.0
2013,Mid-year population, age 0 years, by sex,6064.0
2014,Mid-year population, age 0 years, by sex,6085.0
2015,Mid-year population, age 0 years, by sex,6078.0
2016,Mid-year population, age 0 years, by sex,6114.0
2017,Mid-year population, age 0 years, by sex,6145.0
2018,Mid-year population, age 0 years, by sex,6245.5
2019,Mid-year population, age 0 years, by sex,6342.0
1980,Mid-year population, age 0 years, by sex,35000.0
1981,Mid-year population, age 0 years, by sex,35800.0
1982,Mid-year population, age 0 years, by sex,36800.0
1983,Mid-year population, age 0 years, by sex,38900.0
1984,Mid-year population, age 0 years, by sex,40100.0
1985,Mid-year population, age 0 years, by sex,40000.0
1986,Mid-year population, age 0 years, by sex,40800.0
1987,Mid-year population, age 0 years, by sex,41800.0
1988,Mid-year population, age 0 years, by sex,41500.0
1989,Mid-year population, age 0 years, by sex,40000.0
1990,Mid-year population, age 0 years, by sex,37900.0
1991,Mid-year population, age 0 years, by sex,35700.0
1992,Mid-year population, age 0 years, by sex,32600.0
1993,Mid-year population, age 0 years, by sex,28700.0
1994,Mid-year population, age 0 years, by sex,25100.0
1995,Mid-year population, age 0 years, by sex,22500.0
1996,Mid-year population, age 0 years, by sex,20400.0
1997,Mid-year population, age 0 years, by sex,19100.0
1998,Mid-year population, age 0 years, by sex,18400.0
1999,Mid-year population, age 0 years, by sex,18700.0
2000,Mid-year population, age 0 years, by sex,19659.0
2001,Mid-year population, age 0 years, by sex,19805.0
2002,Mid-year population, age 0 years, by sex,19712.0
2003,Mid-year population, age 0 years, by sex,20427.0
2004,Mid-year population, age 0 years, by sex,20632.0
2005,Mid-year population, age 0 years, by sex,20963.0
2006,Mid-year population, age 0 years, by sex,22057.0
2007,Mid-year population, age 0 years, by sex,23038.0
2008,Mid-year population, age 0 years, by sex,23788.0
2009,Mid-year population, age 0 years, by sex,22839.0
2010,Mid-year population, age 0 years, by sex,20444.0
2011,Mid-year population, age 0 years, by sex,18901.0
2012,Mid-year population, age 0 years, by sex,19143.0
2013,Mid-year population, age 0 years, by sex,20063.0
2014,Mid-year population, age 0 years, by sex,21043.0
2015,Mid-year population, age 0 years, by sex,21779.0
2016,Mid-year population, age 0 years, by sex,21862.0
2017,Mid-year population, age 0 years, by sex,21251.0
2018,Mid-year population, age 0 years, by sex,19894.0
2019,Mid-year population, age 0 years, by sex,18889.0
2020,Mid-year population, age 0 years, by sex,18017.0
2020,Mid-year population, age 0 years, by sex,321.0
1980,Mid-year population, age 0 years, by sex,78210.0
1981,Mid-year population, age 0 years, by sex,79365.0
1982,Mid-year population, age 0 years, by sex,81189.0
1983,Mid-year population, age 0 years, by sex,86013.0
1984,Mid-year population, age 0 years, by sex,88876.0
1985,Mid-year population, age 0 years, by sex,88709.0
1986,Mid-year population, age 0 years, by sex,91087.0
1987,Mid-year population, age 0 years, by sex,90644.0
1988,Mid-year population, age 0 years, by sex,87891.0
1989,Mid-year population, age 0 years, by sex,83563.0
1990,Mid-year population, age 0 years, by sex,78292.0
1991,Mid-year population, age 0 years, by sex,73350.0
1992,Mid-year population, age 0 years, by sex,70039.0
1993,Mid-year population, age 0 years, by sex,63209.0
1994,Mid-year population, age 0 years, by sex,62705.0
1995,Mid-year population, age 0 years, by sex,58159.0
1996,Mid-year population, age 0 years, by sex,53188.0
1997,Mid-year population, age 0 years, by sex,44827.0
1998,Mid-year population, age 0 years, by sex,42842.0
1999,Mid-year population, age 0 years, by sex,39354.0
2000,Mid-year population, age 0 years, by sex,37211.0
2001,Mid-year population, age 0 years, by sex,36154.0
2002,Mid-year population, age 0 years, by sex,35514.0
2003,Mid-year population, age 0 years, by sex,35562.0
2004,Mid-year population, age 0 years, by sex,36877.0
2005,Mid-year population, age 0 years, by sex,37752.0
2006,Mid-year population, age 0 years, by sex,37766.0
2007,Mid-year population, age 0 years, by sex,37469.0
2008,Mid-year population, age 0 years, by sex,37744.0
2009,Mid-year population, age 0 years, by sex,39267.0
2010,Mid-year population, age 0 years, by sex,39987.0
2011,Mid-year population, age 0 years, by sex,39388.5
2012,Mid-year population, age 0 years, by sex,38856.0
2013,Mid-year population, age 0 years, by sex,38233.0
2014,Mid-year population, age 0 years, by sex,38024.0
2015,Mid-year population, age 0 years, by sex,38161.0
2016,Mid-year population, age 0 years, by sex,37343.0
2017,Mid-year population, age 0 years, by sex,35127.5
2018,Mid-year population, age 0 years, by sex,32779.0
1991,Mid-year population, age 0 years, by sex,32000.0
1992,Mid-year population, age 0 years, by sex,30300.0
1993,Mid-year population, age 0 years, by sex,28300.0
1994,Mid-year population, age 0 years, by sex,28900.0
1995,Mid-year population, age 0 years, by sex,31200.0
1996,Mid-year population, age 0 years, by sex,31200.0
1997,Mid-year population, age 0 years, by sex,28700.0
1998,Mid-year population, age 0 years, by sex,26400.0
1999,Mid-year population, age 0 years, by sex,25500.0
2000,Mid-year population, age 0 years, by sex,25200.0
2001,Mid-year population, age 0 years, by sex,24831.0
2002,Mid-year population, age 0 years, by sex,23311.0
2003,Mid-year population, age 0 years, by sex,23182.0
2004,Mid-year population, age 0 years, by sex,23245.0
2005,Mid-year population, age 0 years, by sex,22610.0
2006,Mid-year population, age 0 years, by sex,22298.0
2007,Mid-year population, age 0 years, by sex,22393.0
2008,Mid-year population, age 0 years, by sex,22590.0
2009,Mid-year population, age 0 years, by sex,23061.0
2010,Mid-year population, age 0 years, by sex,23778.0
2011,Mid-year population, age 0 years, by sex,23369.0
2012,Mid-year population, age 0 years, by sex,22969.0
2013,Mid-year population, age 0 years, by sex,23133.0
2014,Mid-year population, age 0 years, by sex,23141.0
2015,Mid-year population, age 0 years, by sex,23126.0
2016,Mid-year population, age 0 years, by sex,22815.0
2017,Mid-year population, age 0 years, by sex,22163.0
2018,Mid-year population, age 0 years, by sex,21399.0
2019,Mid-year population, age 0 years, by sex,20487.0
2020,Mid-year population, age 0 years, by sex,19337.0
1955,Mid-year population, age 0 years, by sex,8100.0
1956,Mid-year population, age 0 years, by sex,7000.0
1957,Mid-year population, age 0 years, by sex,8400.0
1958,Mid-year population, age 0 years, by sex,8300.0
1959,Mid-year population, age 0 years, by sex,8100.0
1960,Mid-year population, age 0 years, by sex,8400.0
1961,Mid-year population, age 0 years, by sex,7600.0
1962,Mid-year population, age 0 years, by sex,7300.0
1963,Mid-year population, age 0 years, by sex,6800.0
1964,Mid-year population, age 0 years, by sex,6300.0
1965,Mid-year population, age 0 years, by sex,5800.0
1966,Mid-year population, age 0 years, by sex,5300.0
1967,Mid-year population, age 0 years, by sex,4900.0
1968,Mid-year population, age 0 years, by sex,5100.0
1969,Mid-year population, age 0 years, by sex,5000.0
1970,Mid-year population, age 0 years, by sex,5200.0
1971,Mid-year population, age 0 years, by sex,5000.0
1972,Mid-year population, age 0 years, by sex,5400.0
1973,Mid-year population, age 0 years, by sex,5100.0
1974,Mid-year population, age 0 years, by sex,5200.0
1975,Mid-year population, age 0 years, by sex,5500.0
1976,Mid-year population, age 0 years, by sex,5600.0
1977,Mid-year population, age 0 years, by sex,5700.0
1978,Mid-year population, age 0 years, by sex,5600.0
1979,Mid-year population, age 0 years, by sex,5700.0
1980,Mid-year population, age 0 years, by sex,5500.0
1981,Mid-year population, age 0 years, by sex,5200.0
1982,Mid-year population, age 0 years, by sex,5900.0
1983,Mid-year population, age 0 years, by sex,5600.0
1984,Mid-year population, age 0 years, by sex,5500.0
1985,Mid-year population, age 0 years, by sex,5400.0
1986,Mid-year population, age 0 years, by sex,5200.0
1987,Mid-year population, age 0 years, by sex,5200.0
1988,Mid-year population, age 0 years, by sex,5400.0
1989,Mid-year population, age 0 years, by sex,5500.0
1990,Mid-year population, age 0 years, by sex,5500.0
1991,Mid-year population, age 0 years, by sex,5300.0
1992,Mid-year population, age 0 years, by sex,5300.0
1993,Mid-year population, age 0 years, by sex,5300.0
1994,Mid-year population, age 0 years, by sex,5000.0
1995,Mid-year population, age 0 years, by sex,4700.0
1996,Mid-year population, age 0 years, by sex,4800.0
1997,Mid-year population, age 0 years, by sex,4800.0
1998,Mid-year population, age 0 years, by sex,4600.0
1999,Mid-year population, age 0 years, by sex,4300.0
2000,Mid-year population, age 0 years, by sex,4273.0
2001,Mid-year population, age 0 years, by sex,4096.0
2002,Mid-year population, age 0 years, by sex,3907.0
2003,Mid-year population, age 0 years, by sex,3959.0
2004,Mid-year population, age 0 years, by sex,3950.0
2005,Mid-year population, age 0 years, by sex,3818.0
2006,Mid-year population, age 0 years, by sex,3760.0
2007,Mid-year population, age 0 years, by sex,3758.0
2008,Mid-year population, age 0 years, by sex,3890.0
2009,Mid-year population, age 0 years, by sex,4025.0
2010,Mid-year population, age 0 years, by sex,3964.0
2011,Mid-year population, age 0 years, by sex,4030.0
2012,Mid-year population, age 0 years, by sex,4167.0
2013,Mid-year population, age 0 years, by sex,4118.0
2014,Mid-year population, age 0 years, by sex,4139.0
2015,Mid-year population, age 0 years, by sex,4312.0
2016,Mid-year population, age 0 years, by sex,4556.0
2017,Mid-year population, age 0 years, by sex,4539.0
1985,Mid-year population, age 0 years, by sex,10412.0
1986,Mid-year population, age 0 years, by sex,10321.0
1987,Mid-year population, age 0 years, by sex,10333.0
1988,Mid-year population, age 0 years, by sex,10303.0
1989,Mid-year population, age 0 years, by sex,10181.0
1990,Mid-year population, age 0 years, by sex,9979.0
1991,Mid-year population, age 0 years, by sex,12286.0
1992,Mid-year population, age 0 years, by sex,9424.0
1993,Mid-year population, age 0 years, by sex,9159.0
1994,Mid-year population, age 0 years, by sex,8903.0
1995,Mid-year population, age 0 years, by sex,9184.0
1996,Mid-year population, age 0 years, by sex,9288.0
1997,Mid-year population, age 0 years, by sex,8921.0
2000,Mid-year population, age 0 years, by sex,8137.0
2001,Mid-year population, age 0 years, by sex,8137.0
2002,Mid-year population, age 0 years, by sex,8137.0
2003,Mid-year population, age 0 years, by sex,8243.0
2004,Mid-year population, age 0 years, by sex,8099.0
2005,Mid-year population, age 0 years, by sex,7608.0
2006,Mid-year population, age 0 years, by sex,7457.0
2007,Mid-year population, age 0 years, by sex,7699.0
2008,Mid-year population, age 0 years, by sex,8094.0
2009,Mid-year population, age 0 years, by sex,8506.0
2010,Mid-year population, age 0 years, by sex,7960.0
2011,Mid-year population, age 0 years, by sex,7638.5
2012,Mid-year population, age 0 years, by sex,7440.5
2013,Mid-year population, age 0 years, by sex,7660.5
2014,Mid-year population, age 0 years, by sex,7648.0
2015,Mid-year population, age 0 years, by sex,7521.871567
2016,Mid-year population, age 0 years, by sex,7547.243135
2017,Mid-year population, age 0 years, by sex,7573.0
2018,Mid-year population, age 0 years, by sex,7386.0
2019,Mid-year population, age 0 years, by sex,7320.0
1950,Mid-year population, age 0 years, by sex,227900.0
1951,Mid-year population, age 0 years, by sex,224000.0
1952,Mid-year population, age 0 years, by sex,224700.0
1953,Mid-year population, age 0 years, by sex,224700.0
1954,Mid-year population, age 0 years, by sex,223300.0
1955,Mid-year population, age 0 years, by sex,224100.0
1956,Mid-year population, age 0 years, by sex,225900.0
1957,Mid-year population, age 0 years, by sex,228500.0
1958,Mid-year population, age 0 years, by sex,231800.0
1959,Mid-year population, age 0 years, by sex,236000.0
1960,Mid-year population, age 0 years, by sex,236700.0
1961,Mid-year population, age 0 years, by sex,239200.0
1962,Mid-year population, age 0 years, by sex,243000.0
1963,Mid-year population, age 0 years, by sex,244300.0
1964,Mid-year population, age 0 years, by sex,246700.0
1965,Mid-year population, age 0 years, by sex,244500.0
1966,Mid-year population, age 0 years, by sex,239000.0
1967,Mid-year population, age 0 years, by sex,235900.0
1968,Mid-year population, age 0 years, by sex,234900.0
1969,Mid-year population, age 0 years, by sex,239500.0
1970,Mid-year population, age 0 years, by sex,240400.0
1971,Mid-year population, age 0 years, by sex,230500.0
1972,Mid-year population, age 0 years, by sex,218400.0
1973,Mid-year population, age 0 years, by sex,202500.0
1974,Mid-year population, age 0 years, by sex,188800.0
1975,Mid-year population, age 0 years, by sex,180900.0
1976,Mid-year population, age 0 years, by sex,176400.0
1977,Mid-year population, age 0 years, by sex,174000.0
1978,Mid-year population, age 0 years, by sex,173500.0
1979,Mid-year population, age 0 years, by sex,174600.0
1980,Mid-year population, age 0 years, by sex,177600.0
1981,Mid-year population, age 0 years, by sex,179300.0
1982,Mid-year population, age 0 years, by sex,174700.0
1983,Mid-year population, age 0 years, by sex,170300.0
1984,Mid-year population, age 0 years, by sex,171600.0
1985,Mid-year population, age 0 years, by sex,175600.0
